region,device_RAM,device_storage,new_price_dollars,device_category,condition_category,months_used,tradein_value_dollars
South East and Delta,1,32,56.36,group7_others,good,21,16.908
South South,2,32,100.95,group7_others,good,25,22.209
South South,6,128,999.0,group3_samsung_highend,fair,32,259.74
South East and Delta,3,32,97.25,group5_samsung_lowend,good,18,29.175000000000004
West,2,64,108.19,group6_transsion,good,24,32.457
South East and Delta,4,64,119.58,group6_transsion,good,28,26.307599999999997
West,4,64,130.0,group5_samsung_lowend,good,14,39.00000000000001
Lagos Mainland,8,128,483.0,group3_samsung_highend,fair,26,125.58
Lagos Mainland,2,32,235.76,group4_samsung_midrange,fair,56,23.575999999999993
South South,8,256,510.1,group6_transsion,good,6,214.24200000000002
South South,4,64,131.73,group6_transsion,fair,23,36.8844
Lagos Mainland,6,128,145.0,group6_transsion,fair,31,28.999999999999993
Lagos Mainland,4,128,191.6,group5_samsung_lowend,good,14,57.480000000000004
South East and Delta,2,32,80.69,group6_transsion,good,17,24.207000000000004
South East and Delta,8,256,263.06,group6_transsion,good,7,110.4852
FCT & Environs,4,64,165.29,group6_transsion,good,17,49.587
Lagos Mainland,4,128,191.6,group5_samsung_lowend,fair,14,53.648
South East and Delta,2,32,80.69,group6_transsion,good,17,24.207000000000004
South East and Delta,2,64,102.87,group6_transsion,fair,1,40.1193
South East and Delta,3,64,106.9,group6_transsion,good,3,44.898
Lagos Mainland,3,32,112.36,group6_transsion,good,34,24.719199999999997
Lagos Mainland,4,64,159.0,group5_samsung_lowend,fair,27,31.799999999999994
Lagos Mainland,4,128,147.33,group6_transsion,good,25,32.4126
South East and Delta,3,64,108.4,group6_transsion,fair,33,21.679999999999996
South East and Delta,2,32,80.69,group6_transsion,good,28,17.751799999999996
South East and Delta,4,128,131.75,group6_transsion,fair,18,36.89
South East and Delta,4,64,119.58,group6_transsion,good,28,26.307599999999997
Lagos Mainland,4,64,159.0,group5_samsung_lowend,fair,27,31.799999999999994
Lagos Mainland,2,32,97.71,group6_transsion,fair,9,38.106899999999996
West,8,256,215.55,group6_transsion,excellent,24,68.976
South East and Delta,8,128,220.61,group6_transsion,good,12,92.65620000000001
Lagos Mainland,4,128,289.0,group4_samsung_midrange,good,14,95.36999999999999
Lagos Mainland,4,128,157.25,group6_transsion,fair,12,61.3275
FCT & Environs,4,128,220.42,group4_samsung_midrange,fair,23,66.126
FCT & Environs,6,128,196.0,group5_samsung_lowend,fair,30,39.19999999999999
FCT & Environs,4,128,162.36,group7_others,good,15,48.70800000000001
South East and Delta,2,32,83.83,group6_transsion,good,19,25.149000000000004
South East and Delta,2,32,89.93,group6_transsion,fair,19,25.180400000000006
South East and Delta,4,64,123.66,group6_transsion,good,12,51.937200000000004
South East and Delta,2,64,108.19,group6_transsion,excellent,24,34.620799999999996
South East and Delta,4,128,185.98,group6_transsion,fair,10,72.5322
Lagos Mainland,6,128,145.71,group6_transsion,good,22,43.71300000000001
South South,4,64,156.31,group7_others,fair,7,60.9609
West,3,32,107.78,group7_others,good,18,32.334
West,2,16,93.02,group7_others,good,25,20.464399999999998
South East and Delta,6,128,179.62,group6_transsion,good,10,75.44040000000001
FCT & Environs,4,128,173.65,group6_transsion,good,17,52.095000000000006
South East and Delta,4,128,155.59,group6_transsion,good,22,46.67700000000001
South South,4,128,191.3,group5_samsung_lowend,good,9,80.34600000000002
South East and Delta,8,128,230.68,group7_others,good,24,69.20400000000001
South East and Delta,4,64,154.67,group7_others,good,21,46.401
Lagos Mainland,8,128,699.0,group3_samsung_highend,fair,39,111.84000000000002
Lagos Mainland,2,32,110.85,group7_others,fair,33,22.169999999999995
South East and Delta,2,64,95.27,group6_transsion,good,3,40.013400000000004
South East and Delta,4,64,125.7,group6_transsion,good,18,37.71000000000001
South East and Delta,2,64,95.27,group6_transsion,good,3,40.013400000000004
South East and Delta,2,32,100.54,group7_others,good,14,30.162000000000006
Lagos Mainland,4,128,165.23,group6_transsion,fair,10,64.4397
South East and Delta,2,32,83.83,group6_transsion,good,19,25.149000000000004
South East and Delta,2,32,80.69,group6_transsion,good,18,24.207000000000004
South East and Delta,2,32,96.52,group6_transsion,good,16,28.956000000000003
South South,6,128,421.74,group4_samsung_midrange,good,14,139.17419999999998
South East and Delta,4,64,165.29,group6_transsion,good,17,49.587
South South,4,128,155.59,group6_transsion,good,22,46.67700000000001
South South,8,128,258.96,group7_others,good,8,108.7632
Lagos Mainland,4,64,123.66,group6_transsion,good,12,51.937200000000004
South South,2,64,106.63,group6_transsion,good,7,44.784600000000005
South East and Delta,6,128,177.6,group6_transsion,good,24,53.28000000000001
South East and Delta,2,64,104.35,group6_transsion,excellent,20,33.391999999999996
Lagos Mainland,2,64,136.25,group6_transsion,good,15,40.87500000000001
West,4,64,215.0,group4_samsung_midrange,fair,14,64.50000000000001
South East and Delta,2,32,80.69,group6_transsion,good,18,24.207000000000004
South East and Delta,4,64,119.58,group6_transsion,good,45,17.937
North,4,64,269.0,group4_samsung_midrange,fair,27,59.17999999999999
Lagos Mainland,8,256,534.14,group3_samsung_highend,good,14,197.6318
South East and Delta,4,128,115.05,group7_others,good,2,48.321000000000005
Lagos Island,8,256,207.33,group7_others,good,7,87.07860000000001
Lagos Island,8,128,975.0,group3_samsung_highend,good,51,126.75
South South,4,64,131.73,group6_transsion,fair,23,36.8844
South East and Delta,2,32,87.34,group6_transsion,fair,25,17.467999999999996
South South,12,256,1001.48,group6_transsion,fair,1,390.5772
Lagos Mainland,4,64,129.7,group6_transsion,fair,10,50.583
West,3,64,116.88,group6_transsion,excellent,13,37.401599999999995
South South,4,64,167.54,group7_others,good,20,50.26200000000001
South East and Delta,8,256,262.19,group6_transsion,good,10,110.11980000000001
South South,6,128,458.54,group3_samsung_highend,fair,26,119.22040000000001
Lagos Mainland,8,128,699.0,group3_samsung_highend,good,39,132.80999999999997
South South,4,64,127.36,group7_others,good,11,53.491200000000006
South East and Delta,8,256,417.92,group7_others,fair,8,162.9888
South South,2,64,104.35,group6_transsion,fair,21,29.218
FCT & Environs,8,256,769.0,group3_samsung_highend,fair,16,261.46
South South,2,32,96.52,group6_transsion,good,16,28.956000000000003
Lagos Mainland,2,64,136.25,group6_transsion,good,15,40.87500000000001
South East and Delta,12,256,1799.0,group2_samsung_premium,fair,21,611.66
South South,6,128,999.0,group1_apple,fair,20,419.58000000000004
South South,2,32,87.34,group6_transsion,good,25,19.214799999999997
South East and Delta,2,64,106.63,group6_transsion,good,8,44.784600000000005
South South,2,64,104.35,group6_transsion,good,21,31.305000000000003
Lagos Mainland,2,32,62.74,group6_transsion,good,11,26.350800000000003
Lagos Island,6,128,145.71,group6_transsion,good,22,43.71300000000001
South East and Delta,2,64,136.25,group6_transsion,good,15,40.87500000000001
South East and Delta,8,256,384.18,group7_others,good,19,115.25400000000002
South East and Delta,2,32,62.74,group6_transsion,good,11,26.350800000000003
South South,8,256,289.63,group6_transsion,fair,10,112.95570000000001
South East and Delta,6,128,179.62,group6_transsion,good,10,75.44040000000001
South South,6,128,177.6,group6_transsion,good,24,53.28000000000001
Lagos Mainland,4,128,131.79,group6_transsion,good,30,28.993799999999993
South East and Delta,2,64,136.25,group6_transsion,good,15,40.87500000000001
South East and Delta,3,32,107.78,group7_others,excellent,18,34.489599999999996
South East and Delta,3,64,131.76,group6_transsion,fair,9,51.386399999999995
West,6,128,599.0,group3_samsung_highend,fair,34,155.74
Lagos Island,8,256,279.1,group6_transsion,good,20,83.73000000000002
FCT & Environs,4,128,160.0,group7_others,good,33,35.199999999999996
FCT & Environs,8,256,209.21,group6_transsion,good,12,87.86820000000002
Lagos Mainland,2,64,112.11,group7_others,fair,13,31.390800000000002
South East and Delta,8,128,141.09,group6_transsion,good,2,59.25780000000001
South East and Delta,6,128,145.71,group6_transsion,good,23,43.71300000000001
Lagos Mainland,3,32,130.0,group5_samsung_lowend,good,18,39.00000000000001
South South,6,128,173.05,group7_others,good,21,51.91500000000001
South South,2,32,80.69,group6_transsion,good,18,24.207000000000004
South South,4,64,190.0,group5_samsung_lowend,good,30,41.8
South South,4,64,129.7,group6_transsion,good,10,54.474000000000004
South South,6,128,1099.0,group1_apple,fair,20,461.58000000000004
Lagos Mainland,3,64,94.63,group6_transsion,fair,32,18.925999999999995
South South,4,64,185.0,group5_samsung_lowend,good,2,77.7
Lagos Mainland,3,256,899.0,group1_apple,fair,55,161.82000000000005
Lagos Mainland,3,32,97.25,group5_samsung_lowend,good,18,29.175000000000004
South East and Delta,4,128,226.0,group4_samsung_midrange,good,0,106.22
Lagos Mainland,2,64,136.25,group6_transsion,fair,15,38.150000000000006
Lagos Mainland,8,128,212.98,group7_others,good,23,63.894000000000005
Lagos Island,2,32,96.52,group6_transsion,good,16,28.956000000000003
Lagos Mainland,2,64,136.25,group6_transsion,fair,15,38.150000000000006
South South,4,128,119.8,group7_others,fair,4,46.722
Lagos Mainland,1,32,63.3,group7_others,good,19,18.990000000000002
West,4,64,170.0,group7_others,good,8,71.4
Lagos Mainland,4,128,160.62,group6_transsion,good,9,67.4604
South East and Delta,2,32,83.83,group6_transsion,good,19,25.149000000000004
Lagos Island,4,128,379.0,group4_samsung_midrange,good,50,45.48
South East and Delta,4,64,116.88,group6_transsion,good,25,25.713599999999996
South East and Delta,3,64,102.86,group6_transsion,good,3,43.20120000000001
FCT & Environs,2,32,89.93,group6_transsion,fair,19,25.180400000000006
South East and Delta,3,64,112.36,group6_transsion,good,15,33.708000000000006
Lagos Island,6,128,599.0,group3_samsung_highend,good,34,173.71
Lagos Mainland,4,128,180.0,group6_transsion,good,19,54.00000000000001
Lagos Mainland,2,32,97.71,group6_transsion,excellent,10,43.96949999999999
South East and Delta,3,64,116.88,group6_transsion,good,13,35.06400000000001
South East and Delta,2,64,106.63,group6_transsion,fair,8,41.5857
South East and Delta,4,64,125.7,group6_transsion,fair,18,35.196000000000005
South East and Delta,3,64,108.4,group6_transsion,good,34,23.848
South East and Delta,4,128,206.67,group7_others,good,10,86.8014
South South,3,32,115.85,group7_others,good,30,25.486999999999995
Lagos Mainland,4,64,119.58,group6_transsion,fair,8,46.6362
South South,4,128,185.98,group6_transsion,good,10,78.11160000000001
South South,2,32,97.71,group6_transsion,good,10,41.0382
South East and Delta,2,32,78.55,group6_transsion,good,29,17.281
FCT & Environs,8,256,510.1,group6_transsion,good,7,214.24200000000002
South East and Delta,6,128,110.0,group7_others,excellent,27,28.6
West,2,64,136.25,group6_transsion,good,15,40.87500000000001
Lagos Mainland,3,32,107.78,group7_others,good,19,32.334
South South,2,64,106.63,group6_transsion,good,8,44.784600000000005
South East and Delta,4,64,125.7,group6_transsion,excellent,18,40.224
FCT & Environs,4,128,379.0,group4_samsung_midrange,fair,50,37.89999999999999
Lagos Mainland,4,128,176.34,group6_transsion,good,12,74.06280000000001
West,3,64,112.36,group6_transsion,good,15,33.708000000000006
Lagos Mainland,2,32,62.74,group6_transsion,good,12,26.350800000000003
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,30,39.19999999999999
Lagos Mainland,4,128,174.85,group6_transsion,good,13,52.455000000000005
South East and Delta,4,64,165.29,group6_transsion,good,18,49.587
South East and Delta,4,128,191.6,group5_samsung_lowend,good,15,57.480000000000004
South South,8,256,319.85,group6_transsion,good,23,95.95500000000003
South East and Delta,4,64,165.29,group6_transsion,excellent,18,52.89279999999999
West,4,128,379.0,group4_samsung_midrange,excellent,50,53.06
South East and Delta,8,128,220.61,group6_transsion,good,13,66.183
South East and Delta,2,32,96.52,group6_transsion,excellent,16,30.886399999999995
South East and Delta,6,128,475.0,group3_samsung_highend,good,14,175.75
South East and Delta,2,32,89.93,group7_others,good,8,37.77060000000001
FCT & Environs,4,64,269.0,group4_samsung_midrange,fair,27,59.17999999999999
Lagos Mainland,2,64,106.63,group6_transsion,good,8,44.784600000000005
Lagos Mainland,4,64,110.18,group6_transsion,good,4,46.275600000000004
South East and Delta,2,64,83.74,group7_others,good,7,35.1708
FCT & Environs,3,64,108.4,group6_transsion,good,33,23.848
Lagos Mainland,4,128,171.23,group7_others,good,29,37.67059999999999
West,4,64,119.58,group6_transsion,good,28,26.307599999999997
South South,3,32,112.24,group7_others,fair,12,43.7736
Lagos Mainland,4,128,189.0,group6_transsion,good,19,56.70000000000001
Lagos Mainland,4,128,185.98,group6_transsion,good,10,78.11160000000001
South South,8,256,849.0,group3_samsung_highend,good,29,246.21000000000004
FCT & Environs,4,64,123.66,group6_transsion,good,12,51.937200000000004
FCT & Environs,3,64,106.9,group6_transsion,good,4,44.898
South South,3,32,101.79,group5_samsung_lowend,good,9,42.75180000000001
FCT & Environs,4,64,119.85,group6_transsion,good,24,35.955000000000005
West,4,128,131.79,group6_transsion,fair,31,26.357999999999993
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,30,37.99999999999999
South South,2,64,106.63,group6_transsion,good,8,44.784600000000005
Lagos Mainland,4,64,143.19,group6_transsion,good,18,42.95700000000001
Lagos Mainland,4,64,139.0,group5_samsung_lowend,fair,23,38.92
Lagos Mainland,6,128,145.0,group6_transsion,good,32,31.899999999999995
South East and Delta,4,64,190.0,group5_samsung_lowend,good,30,41.8
Lagos Mainland,4,64,102.82,group7_others,good,13,30.846000000000004
South South,2,32,79.96,group7_others,good,25,17.591199999999997
South East and Delta,4,128,185.98,group6_transsion,good,10,78.11160000000001
West,2,32,96.52,group6_transsion,good,16,28.956000000000003
Lagos Mainland,6,128,276.0,group4_samsung_midrange,good,1,129.72
South South,4,64,155.25,group6_transsion,good,9,65.20500000000001
FCT & Environs,4,64,119.58,group6_transsion,good,8,50.223600000000005
Lagos Mainland,2,32,96.52,group6_transsion,good,16,28.956000000000003
Lagos Mainland,1,16,74.66,group6_transsion,good,22,22.398000000000003
South South,2,32,96.52,group6_transsion,good,16,28.956000000000003
Lagos Mainland,12,256,1449.0,group2_samsung_premium,fair,34,376.74
Lagos Mainland,1,16,61.71,group7_others,good,30,13.576199999999998
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,30,39.19999999999999
South South,4,64,123.66,group6_transsion,good,12,51.937200000000004
Lagos Mainland,8,256,1250.0,group2_samsung_premium,fair,3,587.5
South East and Delta,4,128,173.65,group6_transsion,excellent,18,55.56799999999999
Lagos Mainland,1,16,34.37,group6_transsion,good,49,4.1244
South South,8,128,220.61,group6_transsion,excellent,13,70.59519999999999
South East and Delta,3,64,59.19,group7_others,excellent,2,26.635499999999997
South East and Delta,4,64,119.58,group6_transsion,excellent,28,31.0908
South East and Delta,4,128,160.62,group6_transsion,good,10,67.4604
FCT & Environs,2,32,89.73,group7_others,good,30,19.740599999999997
Lagos Mainland,4,64,130.0,group5_samsung_lowend,fair,15,36.400000000000006
South East and Delta,3,64,108.4,group6_transsion,good,34,23.848
West,2,32,62.74,group6_transsion,fair,12,24.468600000000002
South East and Delta,2,32,89.93,group6_transsion,good,19,26.979000000000006
South East and Delta,4,64,269.0,group4_samsung_midrange,good,27,67.25
West,1,16,61.74,group6_transsion,fair,49,6.173999999999999
Lagos Mainland,2,32,80.69,group6_transsion,good,18,24.207000000000004
South South,2,32,95.21,group6_transsion,fair,24,26.6588
South South,3,64,112.36,group6_transsion,good,15,33.708000000000006
West,3,64,125.81,group7_others,good,7,52.8402
FCT & Environs,6,128,145.71,group6_transsion,good,23,43.71300000000001
South East and Delta,4,128,160.62,group6_transsion,good,10,67.4604
Lagos Mainland,4,64,156.26,group7_others,good,3,65.6292
Lagos Mainland,4,128,180.0,group6_transsion,good,19,54.00000000000001
South East and Delta,8,128,167.75,group6_transsion,fair,2,65.4225
Lagos Island,4,128,174.85,group6_transsion,good,13,52.455000000000005
South South,1,16,60.99,group7_others,fair,38,7.928700000000001
South South,3,64,108.4,group6_transsion,fair,34,21.679999999999996
Lagos Mainland,8,128,220.61,group6_transsion,good,13,66.183
West,3,64,116.88,group6_transsion,good,14,35.06400000000001
Lagos Island,3,64,108.4,group6_transsion,excellent,34,28.184
South South,4,128,289.0,group4_samsung_midrange,fair,15,86.70000000000002
South East and Delta,4,128,189.0,group6_transsion,good,19,56.70000000000001
South East and Delta,3,32,107.78,group7_others,good,19,32.334
South East and Delta,2,32,83.21,group6_transsion,excellent,12,37.44449999999999
South South,3,32,97.25,group5_samsung_lowend,fair,18,27.230000000000004
FCT & Environs,4,128,185.98,group6_transsion,fair,11,72.5322
South South,8,128,214.16,group6_transsion,fair,33,42.83199999999999
Lagos Mainland,6,128,395.18,group4_samsung_midrange,fair,14,118.55400000000002
South South,2,64,104.35,group6_transsion,good,21,31.305000000000003
Lagos Mainland,4,128,191.3,group5_samsung_lowend,good,10,80.34600000000002
Lagos Island,2,32,83.83,group6_transsion,good,19,25.149000000000004
South South,3,32,71.26,group7_others,good,23,21.378000000000004
FCT & Environs,4,64,165.29,group6_transsion,good,18,49.587
South East and Delta,4,128,176.34,group6_transsion,good,13,52.90200000000001
Lagos Mainland,4,64,139.0,group5_samsung_lowend,excellent,23,44.47999999999999
South East and Delta,1,16,34.37,group6_transsion,good,49,4.1244
West,6,128,215.63,group6_transsion,good,38,32.344500000000004
Lagos Mainland,12,128,1399.0,group2_samsung_premium,good,39,265.80999999999995
South East and Delta,2,32,113.69,group7_others,good,32,25.011799999999997
Lagos Mainland,4,128,160.62,group6_transsion,good,10,67.4604
South South,2,64,106.63,group6_transsion,fair,8,41.5857
West,2,32,89.93,group7_others,good,9,37.77060000000001
Lagos Mainland,4,128,157.25,group6_transsion,fair,13,44.03
Lagos Island,6,128,173.05,group7_others,good,21,51.91500000000001
South South,4,64,106.44,group7_others,good,26,23.416799999999995
West,8,256,209.21,group6_transsion,good,12,87.86820000000002
South South,2,32,97.71,group6_transsion,fair,10,38.106899999999996
South East and Delta,3,32,67.26,group7_others,good,9,28.249200000000005
South South,6,128,259.7,group7_others,good,9,109.07400000000001
FCT & Environs,12,256,1299.99,group2_samsung_premium,fair,16,441.99659999999994
FCT & Environs,6,128,145.0,group6_transsion,good,32,31.899999999999995
South East and Delta,2,32,96.43,group7_others,good,35,21.214599999999997
South South,8,128,196.05,group6_transsion,fair,18,54.894000000000005
South South,8,256,417.92,group7_others,fair,8,162.9888
Lagos Mainland,4,64,123.66,group6_transsion,good,12,51.937200000000004
FCT & Environs,3,32,71.26,group7_others,good,23,21.378000000000004
South East and Delta,8,128,228.49,group6_transsion,excellent,18,73.1168
FCT & Environs,4,128,131.11,group7_others,good,5,55.06620000000001
Lagos Mainland,2,32,96.52,group6_transsion,good,16,28.956000000000003
Lagos Mainland,4,128,176.34,group6_transsion,good,13,52.90200000000001
South East and Delta,3,64,131.76,group6_transsion,excellent,9,59.29199999999999
Lagos Mainland,4,64,190.0,group5_samsung_lowend,fair,30,37.99999999999999
South East and Delta,4,64,150.0,group5_samsung_lowend,good,7,63.00000000000001
South East and Delta,4,64,143.78,group5_samsung_lowend,good,10,60.387600000000006
South South,4,128,165.23,group6_transsion,good,11,69.3966
Lagos Mainland,2,32,73.12,group6_transsion,good,35,16.086399999999998
South East and Delta,12,256,1299.99,group2_samsung_premium,good,16,480.9963
Lagos Mainland,2,32,93.07,group6_transsion,good,45,13.960500000000001
West,3,64,125.81,group7_others,good,7,52.8402
Lagos Mainland,4,128,147.33,group6_transsion,good,18,44.19900000000001
South South,2,32,107.0,group5_samsung_lowend,good,28,23.539999999999996
Lagos Mainland,4,64,150.0,group5_samsung_lowend,fair,7,58.5
South East and Delta,4,64,119.58,group6_transsion,good,29,26.307599999999997
Lagos Mainland,4,64,167.54,group7_others,good,21,50.26200000000001
South East and Delta,2,64,136.25,group6_transsion,good,15,40.87500000000001
South South,2,32,95.82,group6_transsion,good,47,14.373000000000001
West,6,128,145.0,group6_transsion,good,32,31.899999999999995
Lagos Mainland,8,128,228.49,group6_transsion,good,18,68.54700000000001
Lagos Mainland,4,64,131.73,group6_transsion,good,24,39.519000000000005
South East and Delta,3,64,106.9,group6_transsion,fair,4,41.691
South East and Delta,4,64,143.78,group5_samsung_lowend,good,10,60.387600000000006
Lagos Island,8,128,228.49,group6_transsion,good,18,68.54700000000001
Lagos Mainland,2,32,89.93,group7_others,good,9,37.77060000000001
South East and Delta,2,32,80.69,group6_transsion,good,18,24.207000000000004
West,4,64,129.7,group6_transsion,good,10,54.474000000000004
South East and Delta,2,64,95.24,group6_transsion,fair,2,37.1436
South East and Delta,2,32,83.83,group6_transsion,good,19,25.149000000000004
Lagos Mainland,1,16,64.85,group6_transsion,fair,22,18.158
Lagos Mainland,6,128,179.62,group6_transsion,good,11,75.44040000000001
South East and Delta,4,128,160.62,group6_transsion,good,10,67.4604
South East and Delta,3,64,112.36,group6_transsion,good,15,33.708000000000006
South South,4,128,167.02,group7_others,good,26,36.7444
South East and Delta,3,32,112.36,group6_transsion,fair,35,22.471999999999994
South East and Delta,4,64,73.57,group7_others,good,9,30.8994
South East and Delta,4,128,174.85,group6_transsion,good,13,52.455000000000005
South South,8,256,319.85,group6_transsion,good,23,95.95500000000003
FCT & Environs,12,256,1249.0,group2_samsung_premium,good,15,462.13
North,2,64,102.87,group6_transsion,fair,2,40.1193
South East and Delta,4,64,155.25,group6_transsion,good,10,65.20500000000001
South East and Delta,6,128,179.62,group6_transsion,good,11,75.44040000000001
South East and Delta,4,128,173.65,group6_transsion,excellent,18,55.56799999999999
South East and Delta,4,128,173.65,group6_transsion,good,18,52.095000000000006
Lagos Island,6,128,173.05,group7_others,good,22,51.91500000000001
South East and Delta,2,32,76.25,group7_others,good,3,32.025000000000006
South East and Delta,2,32,100.54,group7_others,good,14,30.162000000000006
South South,6,128,346.0,group4_samsung_midrange,good,50,41.519999999999996
South East and Delta,2,32,107.82,group7_others,good,6,45.2844
Lagos Mainland,4,64,150.0,group5_samsung_lowend,fair,7,58.5
West,2,32,62.74,group6_transsion,good,12,26.350800000000003
Lagos Mainland,1,16,83.11,group7_others,good,20,24.933000000000003
Lagos Mainland,4,64,123.66,group6_transsion,good,12,51.937200000000004
South East and Delta,4,64,123.66,group6_transsion,good,12,51.937200000000004
South East and Delta,4,128,162.36,group7_others,good,16,48.70800000000001
Lagos Island,8,128,275.24,group7_others,good,13,82.57200000000002
Lagos Mainland,8,128,228.49,group6_transsion,good,18,68.54700000000001
West,2,64,106.63,group6_transsion,good,8,44.784600000000005
Lagos Mainland,4,64,139.6,group7_others,good,34,30.711999999999996
Lagos Mainland,12,256,1249.0,group2_samsung_premium,good,15,462.13
South East and Delta,8,256,279.1,group6_transsion,good,21,83.73000000000002
South East and Delta,6,128,599.0,group3_samsung_highend,fair,35,155.74
South East and Delta,8,128,141.09,group6_transsion,good,3,59.25780000000001
South East and Delta,4,64,108.32,group7_others,good,33,23.830399999999997
Lagos Mainland,4,64,159.0,group5_samsung_lowend,good,28,34.98
South East and Delta,2,32,83.21,group6_transsion,good,12,34.9482
South East and Delta,2,32,74.64,group6_transsion,good,35,16.4208
Lagos Mainland,8,128,483.0,group3_samsung_highend,fair,27,125.58
South South,4,128,180.0,group6_transsion,good,19,54.00000000000001
South East and Delta,3,64,108.4,group6_transsion,fair,34,21.679999999999996
FCT & Environs,3,64,116.88,group6_transsion,good,14,35.06400000000001
Lagos Mainland,4,64,174.9,group7_others,good,9,73.45800000000001
South South,4,128,173.65,group6_transsion,good,18,52.095000000000006
South South,6,128,450.0,group4_samsung_midrange,good,2,211.5
Lagos Mainland,6,128,196.0,group5_samsung_lowend,good,31,43.12
Lagos Mainland,4,128,173.65,group6_transsion,good,18,52.095000000000006
South East and Delta,2,64,83.74,group7_others,good,8,35.1708
Lagos Mainland,2,32,89.73,group7_others,good,31,19.740599999999997
South East and Delta,4,64,129.7,group6_transsion,good,10,54.474000000000004
South South,1,32,63.3,group7_others,fair,20,17.724
Lagos Mainland,4,128,289.0,group4_samsung_midrange,good,15,95.36999999999999
FCT & Environs,3,32,123.38,group7_others,fair,15,34.546400000000006
Lagos Mainland,4,64,165.29,group6_transsion,good,18,49.587
South East and Delta,4,64,131.0,group6_transsion,good,18,39.300000000000004
Lagos Mainland,6,128,179.62,group6_transsion,good,11,75.44040000000001
South East and Delta,2,64,104.35,group6_transsion,excellent,21,33.391999999999996
Lagos Mainland,8,128,220.61,group6_transsion,good,13,66.183
South East and Delta,4,64,215.0,group4_samsung_midrange,good,15,70.94999999999999
Lagos Mainland,4,128,289.0,group4_samsung_midrange,good,15,95.36999999999999
Lagos Mainland,6,128,162.48,group6_transsion,good,24,48.74400000000001
FCT & Environs,1,16,34.37,group6_transsion,good,50,4.1244
South East and Delta,4,64,165.29,group6_transsion,good,18,49.587
South East and Delta,6,128,196.0,group5_samsung_lowend,good,31,43.12
FCT & Environs,1,16,34.37,group6_transsion,good,50,4.1244
Lagos Mainland,4,64,215.0,group4_samsung_midrange,fair,15,64.50000000000001
Lagos Island,2,64,106.63,group6_transsion,good,8,44.784600000000005
South East and Delta,3,64,131.76,group6_transsion,excellent,10,59.29199999999999
Lagos Mainland,3,64,131.76,group6_transsion,good,10,55.3392
South East and Delta,2,32,96.43,group7_others,good,36,21.214599999999997
South East and Delta,4,128,103.63,group7_others,good,9,43.5246
Lagos Mainland,4,128,180.0,group6_transsion,good,19,54.00000000000001
Lagos Mainland,2,64,106.63,group6_transsion,good,8,44.784600000000005
Lagos Mainland,4,64,139.6,group7_others,good,34,30.711999999999996
Lagos Mainland,4,64,131.0,group6_transsion,good,18,39.300000000000004
South South,4,64,190.0,group5_samsung_lowend,fair,31,37.99999999999999
South East and Delta,3,64,125.81,group7_others,fair,8,49.0659
South South,4,128,103.63,group7_others,good,9,43.5246
Lagos Island,6,128,153.08,group6_transsion,good,35,33.6776
Lagos Mainland,8,128,196.05,group6_transsion,good,19,58.81500000000001
Lagos Mainland,2,32,89.93,group6_transsion,good,20,26.979000000000006
Lagos Mainland,2,32,96.43,group7_others,good,36,21.214599999999997
South South,2,32,73.12,group6_transsion,fair,35,14.623999999999997
Lagos Mainland,4,128,167.65,group6_transsion,excellent,32,43.589000000000006
Lagos Mainland,4,64,159.0,group5_samsung_lowend,fair,28,31.799999999999994
Lagos Mainland,4,128,170.07,group7_others,good,14,51.02100000000001
Lagos Mainland,8,256,534.14,group3_samsung_highend,good,15,197.6318
Lagos Mainland,6,128,699.0,group3_samsung_highend,good,17,258.63
South East and Delta,2,32,96.52,group6_transsion,excellent,17,30.886399999999995
Lagos Mainland,6,128,196.0,group5_samsung_lowend,fair,31,39.19999999999999
South East and Delta,4,64,159.0,group5_samsung_lowend,good,28,34.98
West,4,64,143.78,group5_samsung_lowend,good,10,60.387600000000006
South East and Delta,8,128,228.49,group6_transsion,good,18,68.54700000000001
South South,8,256,510.1,group6_transsion,good,7,214.24200000000002
Lagos Mainland,4,128,180.0,group6_transsion,fair,19,50.400000000000006
Lagos Mainland,1,16,64.85,group6_transsion,good,23,19.455000000000002
Lagos Mainland,3,64,131.76,group6_transsion,good,10,55.3392
Lagos Island,8,128,255.43,group7_others,good,33,56.194599999999994
South East and Delta,4,64,143.78,group5_samsung_lowend,good,10,60.387600000000006
Lagos Mainland,1,16,64.85,group6_transsion,good,23,19.455000000000002
South South,8,256,319.85,group6_transsion,good,23,95.95500000000003
Lagos Mainland,4,128,167.02,group7_others,good,26,36.7444
Lagos Mainland,4,128,379.0,group4_samsung_midrange,fair,51,37.89999999999999
Lagos Mainland,6,128,110.0,group7_others,good,27,24.199999999999996
South East and Delta,4,128,165.23,group6_transsion,fair,11,64.4397
South East and Delta,4,64,123.66,group6_transsion,good,13,37.098000000000006
Lagos Mainland,4,128,103.63,group7_others,good,22,31.089000000000002
South East and Delta,8,128,132.96,group6_transsion,excellent,21,42.5472
West,8,256,263.06,group6_transsion,good,8,110.4852
South South,4,64,99.17,group7_others,good,37,14.875500000000002
South South,2,32,96.52,group6_transsion,fair,17,27.0256
South East and Delta,4,128,155.59,group6_transsion,good,23,46.67700000000001
